title,x,y
Activated Almonds | Know Your Meme,-2.7211008,-8.645016
Actual Advice Mallard | Know Your Meme,10.190445,-14.848544
Actual Cannibal Shia LaBeouf | Know Your Meme,-25.28482,-4.846959
Actual Noise It Made | Know Your Meme,-30.650383,-12.806798
Actually It's About Ethics | Know Your Meme,-0.20055552,-16.129786
Adult Wormy Closeup | Know Your Meme,-9.920161,-26.797728
Advice Animals | Know Your Meme,8.977431,-13.072986
Advice Dog | Know Your Meme,6.9637723,-13.755863
Advice God | Know Your Meme,10.61364,-8.636778
Afro Ninja | Know Your Meme,-18.21133,-7.912302
Aged Like Milk | Know Your Meme,26.27736,-16.162884
Agenda 21 | Know Your Meme,-15.590953,32.648624
"Ah, I See You're a Man of Culture As Well | Know Your Meme",21.808048,10.490971
"Ah Shit, Here We Go Again | Know Your Meme",21.923502,20.719875
AI Cat Stories / Sad Meow Meow Song | Know Your Meme,-20.220783,2.198358
AI Dagoth Ur | Know Your Meme,-11.71882,1.1270859
AI Down Syndrome OnlyFans Models | Know Your Meme,-10.273199,15.026206
AI-Generated Minecraft | Know Your Meme,17.4841,0.51423436
AI Presidents Gaming / Biden and Trump Gaming | Know Your Meme,-5.805933,31.613085
AI Rick Laughing | Know Your Meme,-12.372329,3.8181274
AI Steve Harvey / Steve Harvey Drinking and Crying | Know Your Meme,-15.775048,5.094908
AI Time Travelers Interrupting Memes | Know Your Meme,-12.329918,5.18538
AI-Translated Hitler Speeches | Know Your Meme,-3.7179096,-34.92725
AI Vines / Dream Machine Luma AI Extended Memes | Know Your Meme,-12.09102,4.9553695
Air Horn Remixes | Know Your Meme,-33.20971,-11.029888
AirPod Shotty | Know Your Meme,-15.706467,1.7892538
Ajojing Ala Ala Ajojing | Know Your Meme,-25.68418,1.8007196
Akakichi no Eleven Redraws | Know Your Meme,-1.7256522,18.490839
Akira Movie Poster Parodies | Know Your Meme,20.867395,2.0383801
Akita Neru | Know Your Meme,2.4702322,30.992842
Albert Einstein Copypasta | Know Your Meme,-9.441139,-11.220899
Alear / Toothpaste-chan | Know Your Meme,11.993313,3.4279935
Alec Baldwin's Glengarry Glen Ross Scene | Know Your Meme,-25.277235,-23.66591
Alex From Target / #AlexFromTarget | Know Your Meme,-2.8876452,20.757776
Ali-A's Intro | Know Your Meme,-12.497067,-6.9129868
Alignment Charts | Know Your Meme,20.591902,18.976673
All I Want For Christmas Is You | Know Your Meme,-37.275166,-12.699503
All I Wanted Was a Pepsi | Know Your Meme,-37.422314,6.342705
All In on Nothing Happens | Know Your Meme,-2.1124465,15.25116
All Star | Know Your Meme,-11.591707,-31.56075
All the Things | Know Your Meme,7.745802,8.837916
All Your Base Are Belong to Us | Know Your Meme,23.33417,-16.72465
Allahu Akbar | Know Your Meme,14.971607,31.72105
#AllCountriesMatter | Know Your Meme,10.713107,26.450075
Almost Politically Correct Redneck | Know Your Meme,16.938957,13.290886
#AlohaGang | Know Your Meme,15.470522,8.123272
Alolan Exeggutor | Know Your Meme,32.83122,20.240944
"Alone On A Friday Night? God, You're Pathetic | Know Your Meme",11.687677,-20.946783
"Aloralynnsavasta3's ""Who Has the Best Girlfriend Ever?"" TikTok | Know Your Meme",-17.714941,10.457359
Alphabet Aerobics | Know Your Meme,-37.470512,-1.6494831
"Alright, We'll Call It A Draw | Know Your Meme",20.631674,-26.741447
Alt + F4 | Know Your Meme,26.55339,-3.664078
Alternate-Timeline Super Smash Brothers Memes | Know Your Meme,-4.3504796,19.33712
#AlternativeFacts / #SpicerFacts | Know Your Meme,-7.486126,34.028313
Am I a Sunrise or Sunset? (TikTok) | Know Your Meme,-6.071664,8.052031
Am I Disabled? | Know Your Meme,3.6891818,-41.05646
Am I So Out Of Touch? | Know Your Meme,7.743897,-19.677301
Amazing Horse | Know Your Meme,-22.09974,14.264128
Amen Break | Know Your Meme,-36.005924,-1.3667105
Ameno | Know Your Meme,-22.765335,-0.80287117
American Chopper Argument | Know Your Meme,-15.526051,-23.450352
American Psycho Business Card Scene / Let's See Paul Allen's Card | Know Your Meme,-2.2790763,-16.168594
American Psycho Sex Scene / Arm Flex | Know Your Meme,-2.1648018,-16.09428
Amogus | Know Your Meme,0.37054855,3.8847668
Among Drip | Know Your Meme,-0.82038367,7.1928267
An Hero | Know Your Meme,33.45145,-23.227554
Anagrammed Movie Posters | Know Your Meme,-31.620136,-14.229793
Ancient Aliens | Know Your Meme,-9.57084,-6.991957
And Not a Single Fuck Was Given That Day | Know Your Meme,30.803652,-13.81141
And Nothing Of Value Was Lost | Know Your Meme,23.709843,-18.257671
And The Tiger Poster | Know Your Meme,-11.087787,-19.315287
And Then Along Came Zeus | Know Your Meme,-21.321527,-22.349905
"""And Then The Murders Began"" | Know Your Meme",-11.095087,24.166557
And Welcome to Jackass | Know Your Meme,23.831802,-26.731142
Andrew and Ashley Graves Redraws | Know Your Meme,15.188023,10.566349
Andy's Coming | Know Your Meme,5.847978,-24.681395
Angry Dr. Mario / Dr. Mario's Origin Story AI Video | Know Your Meme,-1.6426959,4.6246996
Angry Soccer Fan (Tano Pasman) | Know Your Meme,3.1102595,39.01994
Animals Being Jerks | Know Your Meme,2.2254794,-11.910943
Animaniacs Intro Edits | Know Your Meme,-6.812901,-4.2026863
Animator vs Animation | Know Your Meme,-18.550055,-8.6845665
Anime Girls Comparison Parodies | Know Your Meme,3.1974769,17.745699
Anime Opening/Ending Parodies | Know Your Meme,-18.07606,-9.731679
Anime Profile Pictures | Know Your Meme,13.605698,-12.109488
"""Anime Was a Mistake"" | Know Your Meme",21.877829,5.7630973
"Anime ""Wow"" Sound Effect | Know Your Meme",-25.37923,-16.123665
Animutation | Know Your Meme,-15.366854,-5.01267
Anisa Jomha's OnlyFans | Know Your Meme,2.0849273,17.032547
Ankha | Know Your Meme,34.591618,11.74618
Ankha Zone | Know Your Meme,-13.146303,-5.0272865
Anna Frey Is Brock Purdy | Know Your Meme,-18.42819,6.6999016
Annoying Facebook Girl | Know Your Meme,8.67057,13.670623
Anonymous Asexual | Know Your Meme,7.9193454,17.14451
Ant-Man Will Defeat Thanos by Crawling Up His Butt and Expanding | Know Your Meme,-18.74834,-29.832846
Anti-Joke Chicken | Know Your Meme,10.968213,-1.8319373
Anti-Masturbation Cross | Know Your Meme,1.3373601,-11.374561
Anti-Memes | Know Your Meme,10.467985,-2.845984
Anti-Racist Is Code for Anti-White | Know Your Meme,39.576702,19.531841
Anti-Spiral YouTube Comments | Know Your Meme,-7.0669417,-1.0130715
Antoine Dodson / Bed Intruder | Know Your Meme,-12.810241,25.189228
Anyone Else Hear That Ominous Bell Tolling | Know Your Meme,-3.315472,14.554885
AOC Visiting Migrant Detention Facility | Know Your Meme,-10.380485,28.408583
Apache (Tommy Seebach) | Know Your Meme,-34.464573,-1.5408823
Aposematic Hair Color | Know Your Meme,19.424213,-4.828472
Apple Bottom Jeans Covers | Know Your Meme,-38.75354,0.9275935
Applejack's Plantation | Know Your Meme,-5.909252,19.091253
Apu Apustaja | Know Your Meme,26.06932,5.78467
Apu Nahasapeemapetilon | Know Your Meme,2.9409058,-42.498108
Are We the Baddies? | Know Your Meme,-15.527123,-23.533535
"Are Ya Winning, Son? | Know Your Meme",9.035052,-17.66445
Are You A Bad Enough Dude? | Know Your Meme,15.840319,-29.937147
Are You A Wizard | Know Your Meme,31.452616,-11.582817
Are You Fucking Kidding Me? | Know Your Meme,12.33627,-1.4766585
Are You Going To Finish That Croissant / Cwasont | Know Your Meme,24.80374,-25.190954
Are You Lost In The World Like Me? | Know Your Meme,-24.974064,-3.0619519
Are You Serious Face / Seriously? | Know Your Meme,18.922092,-15.5503
Aretha's Hat | Know Your Meme,-42.70451,-9.618349
Aristocratic Elegance of the Small Breasted Woman | Know Your Meme,1.7353384,13.075404
Arona Dance | Know Your Meme,-24.02233,1.9158754
Art Just Became Accessible | Know Your Meme,-2.201761,18.497116
Art the Clown Grinning | Know Your Meme,-5.4493346,-6.3997674
Arthur Comic Creator | Know Your Meme,8.304526,-25.87828
Arthur's Fist | Know Your Meme,20.63021,-28.967443
Artists Who Can Sing Vs. Artists Who Can't Sing | Know Your Meme,-30.560886,9.752325
As Fuck (AF) | Know Your Meme,30.997864,-14.622239
ASCII Art | Know Your Meme,16.024017,-10.430208
asdfmovie | Know Your Meme,-20.141224,-4.492554
Ash Ketchum's Age | Know Your Meme,30.092215,17.433615
Ash Pedreiro / Dat Ash | Know Your Meme,9.406161,-13.464281
Ashbie Moon / Aspie Girl / Aspie Chan | Know Your Meme,11.247871,2.3563328
Ashton Hall's Morning Routine | Know Your Meme,-15.25691,15.260629
Asiacopter | Know Your Meme,-19.384525,-6.2901964
Asian Hair Streak | Know Your Meme,22.370434,10.429207
Asian Prince | Know Your Meme,23.516235,11.4798765
Asians in the Library | Know Your Meme,12.537001,21.069498
#AskTheGays | Know Your Meme,-5.374279,29.471022
Assuming Control | Know Your Meme,31.9543,-26.954521
Astolfo Monster Cock | Know Your Meme,-5.0512633,6.424426
Astronaut in the Ocean | Know Your Meme,-25.738062,-3.4139447
"At First, I Was Like, But Then, I Was Like | Know Your Meme",24.465485,-15.698186
Atheist Arya | Know Your Meme,-36.276077,-15.990063
Attack on Titan Opening Credits Parodies | Know Your Meme,-16.726854,-10.725268
Attention Whore | Know Your Meme,38.51332,-12.503405
Audio-Spliced Mash Up Songs | Know Your Meme,-32.516857,-3.1330383
Aura Farming | Know Your Meme,-17.491768,7.3896184
Australian Senator Gen Z Slang Speech | Know Your Meme,5.4463363,24.787914
Autism Challenge | Know Your Meme,11.964055,36.436665
Auto-Tune | Know Your Meme,-28.062035,7.326376
Automatic Mario | Know Your Meme,3.690751,-27.151
Average Homeboy | Know Your Meme,-40.08243,4.269939
"Awaken, My Masters | Know Your Meme",16.582941,-35.083393
Awesome Face / Epic Smiley | Know Your Meme,23.230227,-4.617135
"Awful Taste, But Great Execution | Know Your Meme",21.41352,-7.797177
Awkward Look Monkey Puppet | Know Your Meme,25.717234,7.656384
"""Awoo 56709"" Remixes | Know Your Meme",-33.058434,-1.126915
Awooga Luffy | Know Your Meme,-14.621591,-11.404007
Aww Yea Guy | Know Your Meme,23.169401,-23.544828
Axolotl | Know Your Meme,25.996515,15.714045
Ayo the Pizza Here | Know Your Meme,-18.938854,12.362263
Ayumu Kasuga (Osaka) | Know Your Meme,24.573437,9.061144
Ayy LMAO | Know Your Meme,-3.525907,8.794175
Azov-Chan / Marichka | Know Your Meme,20.408989,6.9872646
B Button Emoji 🅱 | Know Your Meme,25.451553,-2.9349146
Baba Booey | Know Your Meme,-6.163622,-14.879518
"Baby, It's Cold Outside | Know Your Meme",-39.100662,-13.736893
Baby Yoda / Grogu | Know Your Meme,-4.9462852,-43.6483
Back Dorm Boys | Know Your Meme,-30.706635,-1.2378931
Back to the Future Day | Know Your Meme,-25.662073,-34.82469
Backwards Long Jump | Know Your Meme,4.717896,-27.00822
Bacon Is Good for Me | Know Your Meme,-9.67289,-3.3508182
Bad Apple!! | Know Your Meme,-38.717335,0.8254679
Bad Day | Know Your Meme,-15.836302,-2.700793
Bad Luck Brian | Know Your Meme,3.1829863,3.7205975
"BadBoy2 / I'm 18, Do I Have Potential? | Know Your Meme",6.7948527,8.847154
Badger Badger Badger | Know Your Meme,-21.501,-4.3182774
Badussy | Know Your Meme,-5.641,-30.996809
Baidu 10 Mythical Creatures (Grass Mud Horse) | Know Your Meme,22.674946,4.266588
Bait-and-switch Media | Know Your Meme,35.039463,-3.9542902
Bait / This is Bait | Know Your Meme,34.76969,-3.9986632
Baka | Know Your Meme,33.57821,-11.151109
Baking My Long Distance BF Into a Cookie Because I Miss Him | Know Your Meme,-27.579865,10.259055
Bald Nonce / Now I'm Panicking | Know Your Meme,-21.31676,18.653048
Balkan Memes | Know Your Meme,6.6374993,-1.6217835
Ball Up Top 🚶🏿 | Know Your Meme,39.4949,-14.971662
Ballad of Douchebag Quadbike | Know Your Meme,-32.0068,-2.89425
Ballerina Cappuccina (Italian Brainrot) | Know Your Meme,17.217173,6.6199164
Balloon Boy | Know Your Meme,-39.71705,5.269188
Ballpit Challenge | Know Your Meme,-21.48443,-1.1125246
Bamboozle | Know Your Meme,33.67484,-10.794284
Banana For Scale | Know Your Meme,-19.726257,-2.668666
Banana Man (Tally Hall Song) | Know Your Meme,-31.555931,-3.6433487
Bananas Rotat E / Banana.mp4 | Know Your Meme,-20.03057,-2.4667878
Baneposting | Know Your Meme,-22.519611,-23.978334
Banhammer | Know Your Meme,27.654776,-3.5379672
Barack Obama Is Your New Bicycle | Know Your Meme,9.113047,30.155777
Barbie and Ken Mugshot Redraws | Know Your Meme,1.658938,5.641551
"Bart, Get Out! I'm Piss! | Know Your Meme",27.642868,-14.498592
Bart Hits Homer With a Chair | Know Your Meme,3.941303,-42.87248
"Bart, I Don't Want To Alarm You | Know Your Meme",3.7525673,-42.71706
Bart's Testing Megaphones | Know Your Meme,1.6849287,-43.74826
Based and Redpilled | Know Your Meme,13.136531,18.820942
Based God | Know Your Meme,-31.50486,13.806025
Based Stickman | Know Your Meme,-13.429913,28.787893
Bash the Fash | Know Your Meme,-3.4041982,-34.700775
Bath Bombs | Know Your Meme,14.418261,23.680906
Battletoads Pre-order | Know Your Meme,8.265611,-28.733831
Baww | Know Your Meme,36.23475,-19.358084
Bazinga | Know Your Meme,36.184467,-19.869513
BBL Drizzy | Know Your Meme,-32.253532,10.831625
Be Like Bob and Sally | Know Your Meme,-0.55627495,2.5561922
Be Sweet When You Tweet | Know Your Meme,-3.414298,19.000092
Bear Grylls / Better Drink My Own Piss | Know Your Meme,-25.778158,24.79506
Bearsharktopus | Know Your Meme,3.036558,-9.845442
"Beat the Koto Nai, Oi | Know Your Meme",-27.292194,1.1200525
Beating A Dead Horse | Know Your Meme,32.84241,-21.590431
Bechdel Test | Know Your Meme,1.3574371,-18.56425
Becky | Know Your Meme,-35.696114,9.905568
Bedroom Eyes | Know Your Meme,-1.4056885,-15.076777
Bee Movie Script / According To All Known Laws Of Aviation | Know Your Meme,29.836575,-29.054585
BeetleJuice Lips | Know Your Meme,-15.907777,9.260106
Beetlejuicing | Know Your Meme,37.485325,-10.423111
Before the Liberals Find a Reason To Deface This Statue | Know Your Meme,-8.854031,27.485699
"Begone, Thot | Know Your Meme",-0.47966692,18.076595
Bel-Air (Fresh Prince) | Know Your Meme,-28.550047,-22.532907
Ben Swolo | Know Your Meme,-9.589194,-42.148354
Bentley Car Review ASMR Parodies | Know Your Meme,-23.310452,9.36043
Bepis | Know Your Meme,-12.1178,7.5340834
Bernadetta | Know Your Meme,-22.98907,-19.133518
Bernie Sanders Glowsticks | Know Your Meme,3.0130522,23.4799
Bernie Sanders Wearing Mittens Sitting in a Chair | Know Your Meme,-7.060761,30.084452
Bernie Would Have Won | Know Your Meme,-4.9350505,36.700397
Bert Is Evil! | Know Your Meme,11.872125,-0.12549712
Bertstrips | Know Your Meme,2.541109,-15.019711
Better Off Alone | Know Your Meme,-30.719204,4.0068297
"Beyoncé ""She Knows"" Theories | Know Your Meme",-29.935665,14.649762
BFG | Know Your Meme,9.880263,-33.846645
Big Back Trend / Bigbacked Trend | Know Your Meme,-18.938828,8.675707
Big Bad Wolf vs. Leprechaun / Loup Malicieux vs. Farfadet Maléfique | Know Your Meme,-18.882864,2.5417717
Big Booty Bitches | Know Your Meme,-32.2503,6.450336
Big Brain Alien | Know Your Meme,-3.6937714,-14.390267
Big Chungus | Know Your Meme,9.8464575,-5.754771
Big Enough | Know Your Meme,-37.012012,-4.970845
Big Floppa | Know Your Meme,5.3768,4.8228273
"Big, If True | Know Your Meme",25.692503,-19.89977
Big Jill Video | Know Your Meme,-24.476862,12.657953
Big Man Blastoise | Know Your Meme,-30.804865,5.462768
Big Pant or Big Jakt | Know Your Meme,-3.1706305,18.070848
Biggus Dickus | Know Your Meme,-5.6399665,-15.2324505
Bill Dipperly | Know Your Meme,-28.200104,3.27467
"Bill Nye ""The Planet Is On Fucking Fire"" Video | Know Your Meme",-16.844875,31.402533
Bill O'Reilly Rant | Know Your Meme,-23.507923,16.260311
Bill O'Reilly You Can't Explain That | Know Your Meme,18.889914,-15.5174465
Billie Eilish Mirror Masturbation | Know Your Meme,-10.809437,13.464881
Binders Full of Women | Know Your Meme,-2.5188541,35.739983
Binge-Watching | Know Your Meme,28.04038,-10.776547
Bingus | Know Your Meme,16.429232,-1.1066513
Binky Listens To | Know Your Meme,-11.254885,-31.870628
Birbs | Know Your Meme,9.746412,25.725298
Birds with Arms | Know Your Meme,11.193024,-10.615579
Birthday Scenario Game | Know Your Meme,11.340865,29.779306
Bitches Be Like I- I- You- Wow I- | Know Your Meme,5.252858,1.6408284
Bitches Don't Know | Know Your Meme,4.0539565,-1.3609655
Bitches Love Smiley Faces | Know Your Meme,21.750618,-21.158945
Black Betty | Know Your Meme,-38.347572,-2.7445407
Black Cat Zoning Out | Know Your Meme,-21.419952,3.6281738
Black Girl Confidence Bop | Know Your Meme,-29.426664,4.708707
Black Guy on the Phone | Know Your Meme,-12.2625,27.302454
Black Hole-chan | Know Your Meme,-3.2910135,-2.7468631
Black Twitter | Know Your Meme,9.235681,25.91118
Black Wojaks | Know Your Meme,2.6466067,17.45584
Blanche | Know Your Meme,29.16531,23.350153
Blasting Fetty Wap on the JBL Speaker | Know Your Meme,-21.272654,8.237696
Blaze the Cat | Know Your Meme,10.258646,-22.101273
Bleach Blonde Bad Built Butch Body | Know Your Meme,11.229446,20.670582
Blessed Image | Know Your Meme,4.326256,-6.5976334
Blinding Stew | Know Your Meme,5.090984,8.740152
Blinking White Guy | Know Your Meme,-12.254431,-35.2439
Blizzard's Diversity Chart | Know Your Meme,20.137203,19.285877
Blockatiel | Know Your Meme,11.250399,-10.294073
Blood | Know Your Meme,-17.178196,-17.827377
Blood for the Blood God | Know Your Meme,-3.217658,-37.664173
Blue Collar Man Stealers | Know Your Meme,-29.54962,5.5417533
Blue Screen of Death (BSoD) | Know Your Meme,36.06866,-21.669168
Blue Tie Kid (TikTok Rizz Party Leader) | Know Your Meme,-25.123371,14.889008
Blue Whale Challenge | Know Your Meme,35.319622,7.8595276
Blurred Lines | Know Your Meme,-34.53394,6.517319
Blursed Images | Know Your Meme,3.7551534,-6.969979
BME Pain Olympics | Know Your Meme,9.970434,33.977283
Boardroom Suggestion | Know Your Meme,7.0345273,-27.040005
Boat Goes Binted | Know Your Meme,-13.31202,0.44405654
Boba Fett | Know Your Meme,-8.286408,-43.40383
Bobbi Althoff Leaked Video | Know Your Meme,-10.466289,15.03446
Bobs and Vegana | Know Your Meme,3.8268962,14.830152
Bobux | Know Your Meme,28.896404,-5.34762
Body Shaming | Know Your Meme,9.851305,-3.0292346
Bohemian Rhapsody | Know Your Meme,-32.635555,-5.907416
Boku no Pico | Know Your Meme,25.103277,8.102611
Bold of You to Assume | Know Your Meme,2.4798925,23.592266
Bombardiro Crocodilo (Italian Brainrot) | Know Your Meme,-12.101812,-10.602614
Bone Hurting Juice | Know Your Meme,36.20937,-19.00592
Boneca Ambalabu | Know Your Meme,15.5042095,6.775161
Bongcloud Attack | Know Your Meme,4.078517,39.717556
Bongo Cat | Know Your Meme,-15.686414,0.15982336
Bonk (Cheems) | Know Your Meme,-8.352266,-25.512892
Bonk! (Team Fortress 2) | Know Your Meme,35.38198,-0.7174019
BonziBuddy | Know Your Meme,18.758654,-7.324633
Boo Boo the Fool | Know Your Meme,35.014603,-11.188022
Boob and Book Trend | Know Your Meme,0.3962876,12.897105
Boom Goes the Dynamite | Know Your Meme,44.199352,3.4183826
Boom Headshot! | Know Your Meme,44.090332,3.438512
Boomerang Nebula / The Coldest Place in the Universe | Know Your Meme,-3.9584231,-2.9578114
Boop | Know Your Meme,1.9514307,-43.633038
Boot to the Head | Know Your Meme,23.520805,-25.045937
Boots and a Slick Back Bun | Know Your Meme,-26.159523,11.933951
"BORN TO DIE / WORLD IS A FUCK / Kill Em All 1989 / I am trash man / 410,757,864,... | Know Your Meme",22.070688,-8.726208
"Born to Dilly Dally, Forced to Lock In | Know Your Meme",-0.09559703,8.496615
"Born to X, Forced to Y | Know Your Meme",25.748608,-9.806136
Boss Fight | Know Your Meme,14.7377,-32.311214
Bouncing DVD Logo | Know Your Meme,-12.355146,-6.354491
Bowl of M&Ms | Know Your Meme,10.525854,22.966888
Bowling Green Massacre | Know Your Meme,-10.154038,27.11423
Bowsette | Know Your Meme,4.8567243,-28.386621
Box of Hate | Know Your Meme,1.345697,-1.4957263
Boxxy | Know Your Meme,-24.447567,3.808371
Boy It's Just Alcohol / Boy It's Just Alkahal | Know Your Meme,-20.927677,11.591748
#BoycottStarWarsVII | Know Your Meme,-11.618226,-40.30898
Bra Status Updates | Know Your Meme,5.896644,15.18603
"Brace Yourselves, Winter is Coming | Know Your Meme",-36.53058,-16.08248
Brainlet | Know Your Meme,14.261309,15.669239
Brat Summer | Know Your Meme,-24.497297,30.356878
Brazilian Miku | Know Your Meme,21.928688,7.3584995
Brazilian Slutwalk Flasher | Know Your Meme,-14.163455,28.246311
Brazilian Sub-Zero | Know Your Meme,30.437098,4.732168
BRB | Know Your Meme,30.300407,-3.9307249
Brbr Deng | Know Your Meme,-30.115372,-7.8256345
Break The Pencil | Know Your Meme,-3.8885775,10.797248
Breakdancing Bear | Know Your Meme,-33.27244,-8.160291
Breast Envy | Know Your Meme,2.8235905,11.162413
Brendan Fraser's Alimony / Just Fuck My Shit Up | Know Your Meme,-28.915623,21.460413
Brent Rambo | Know Your Meme,-0.69616765,1.820604
Brian Beejay TV Fight | Know Your Meme,-21.50995,17.27243
Britt-Marie | Know Your Meme,26.397894,4.256331
Bro Fist | Know Your Meme,20.863873,-29.743322
Bro Visited His Friend / Friendpilled Visitmaxxer | Know Your Meme,-3.9000373,16.225586
Broccoli Dog | Know Your Meme,9.062659,-10.521647
Brock's Jelly Doughnuts | Know Your Meme,31.670872,13.332809
BRODYQUEST | Know Your Meme,-31.99237,-2.5519128
Broly Boost | Know Your Meme,16.880981,2.9013782
Broly Culo / Broly Ass | Know Your Meme,16.562595,3.742862
Bronyspeak | Know Your Meme,30.621227,-2.4809613
